"Ajankohta";"Laskutettava kulutus (kWh)";"Ylijäämätuotanto (kWh)";"Ulkolämpötila (°C)"
"maanantai 12.9.2022 23:00";"0,21";"0,00";"9,00"
"tiistai 13.9.2022 00:00";"0,21";"0,00";"8,80"
"tiistai 13.9.2022 01:00";"0,21";"0,00";"8,20"
"tiistai 13.9.2022 02:00";"0,21";"0,00";"7,60"
"tiistai 13.9.2022 03:00";"0,20";"0,00";"7,40"
"tiistai 13.9.2022 04:00";"0,39";"0,00";"7,00"
"tiistai 13.9.2022 05:00";"0,84";"0,00";"6,70"
"tiistai 13.9.2022 06:00";"0,20";"0,00";"6,90"
"tiistai 13.9.2022 07:00";"0,32";"0,00";"7,80"
"tiistai 13.9.2022 08:00";"0,56";"0,00";"8,70"
"tiistai 13.9.2022 09:00";"0,61";"0,00";"10,00"
"tiistai 13.9.2022 10:00";"0,76";"0,00";"11,00"
"tiistai 13.9.2022 11:00";"0,10";"0,00";"12,60"
"tiistai 13.9.2022 12:00";"0,10";"0,00";"12,50"
"tiistai 13.9.2022 13:00";"0,00";"0,09";"11,90"
"tiistai 13.9.2022 14:00";"0,00";"0,44";"11,80"
"tiistai 13.9.2022 15:00";"0,86";"0,00";"11,90"
"tiistai 13.9.2022 16:00";"1,34";"0,00";"12,10"
"tiistai 13.9.2022 17:00";"0,39";"0,00";"12,30"
"tiistai 13.9.2022 18:00";"0,22";"0,00";"12,10"
"tiistai 13.9.2022 19:00";"0,71";"0,00";"11,80"
"tiistai 13.9.2022 20:00";"0,96";"0,00";"11,40"
"tiistai 13.9.2022 21:00";"0,35";"0,00";"11,00"
"tiistai 13.9.2022 22:00";"0,26";"0,00";"11,10"
"tiistai 13.9.2022 23:00";"0,24";"0,00";"11,20"
"keskiviikko 14.9.2022 00:00";"0,21";"0,00";"11,30"
"keskiviikko 14.9.2022 01:00";"0,20";"0,00";"11,40"
"keskiviikko 14.9.2022 02:00";"0,21";"0,00";"11,60"
"keskiviikko 14.9.2022 03:00";"0,40";"0,00";"11,70"
"keskiviikko 14.9.2022 04:00";"0,82";"0,00";"11,40"
"keskiviikko 14.9.2022 05:00";"0,37";"0,00";"11,40"
"keskiviikko 14.9.2022 06:00";"0,19";"0,00";"11,30"
"keskiviikko 14.9.2022 07:00";"0,27";"0,00";"11,50"
"keskiviikko 14.9.2022 08:00";"0,91";"0,00";"11,60"
"keskiviikko 14.9.2022 09:00";"0,83";"0,00";"12,10"
"keskiviikko 14.9.2022 10:00";"0,87";"0,00";"12,30"
"keskiviikko 14.9.2022 11:00";"1,54";"0,00";"12,60"
"keskiviikko 14.9.2022 12:00";"0,72";"0,00";"12,40"
"keskiviikko 14.9.2022 13:00";"0,03";"0,00";"12,50"
"keskiviikko 14.9.2022 14:00";"0,00";"0,55";"13,30"
"keskiviikko 14.9.2022 15:00";"0,00";"1,36";"14,10"
"keskiviikko 14.9.2022 16:00";"0,39";"0,00";"14,20"
"keskiviikko 14.9.2022 17:00";"0,54";"0,00";"14,00"
"keskiviikko 14.9.2022 18:00";"1,09";"0,00";"13,00"
"keskiviikko 14.9.2022 19:00";"1,69";"0,00";"11,90"
"keskiviikko 14.9.2022 20:00";"5,80";"0,00";"11,20"
"keskiviikko 14.9.2022 21:00";"2,89";"0,00";"10,80"
"keskiviikko 14.9.2022 22:00";"0,85";"0,00";"10,20"
"keskiviikko 14.9.2022 23:00";"0,22";"0,00";"10,50"
"torstai 15.9.2022 00:00";"0,22";"0,00";"10,60"
"torstai 15.9.2022 01:00";"0,19";"0,00";"10,80"
"torstai 15.9.2022 02:00";"0,20";"0,00";"11,20"
"torstai 15.9.2022 03:00";"0,24";"0,00";"11,20"
"torstai 15.9.2022 04:00";"0,23";"0,00";"10,90"
"torstai 15.9.2022 05:00";"0,28";"0,00";"10,80"
"torstai 15.9.2022 06:00";"0,82";"0,00";"10,50"
"torstai 15.9.2022 07:00";"0,64";"0,00";"10,40"
"torstai 15.9.2022 08:00";"0,63";"0,00";"10,60"
"torstai 15.9.2022 09:00";"0,00";"0,05";"11,00"
"torstai 15.9.2022 10:00";"0,00";"1,11";"12,30"
"torstai 15.9.2022 11:00";"0,00";"0,92";"12,80"
"torstai 15.9.2022 12:00";"0,00";"1,75";"13,60"
"torstai 15.9.2022 13:00";"0,00";"1,05";"13,50"
"torstai 15.9.2022 14:00";"0,56";"0,00";"12,40"
"torstai 15.9.2022 15:00";"0,13";"0,00";"13,30"
"torstai 15.9.2022 16:00";"0,12";"0,00";"13,90"
"torstai 15.9.2022 17:00";"0,00";"0,22";"13,60"
"torstai 15.9.2022 18:00";"0,17";"0,00";"12,10"
"torstai 15.9.2022 19:00";"1,06";"0,00";"11,50"
"torstai 15.9.2022 20:00";"0,77";"0,00";"11,20"
"torstai 15.9.2022 21:00";"0,34";"0,00";"11,00"
"torstai 15.9.2022 22:00";"0,24";"0,00";"10,40"
"torstai 15.9.2022 23:00";"0,21";"0,00";"9,40"
"perjantai 16.9.2022 00:00";"0,20";"0,00";"9,10"
"perjantai 16.9.2022 01:00";"0,73";"0,00";"8,60"
"perjantai 16.9.2022 02:00";"0,33";"0,00";"8,30"
"perjantai 16.9.2022 03:00";"0,20";"0,00";"8,40"
"perjantai 16.9.2022 04:00";"0,20";"0,00";"8,10"
"perjantai 16.9.2022 05:00";"0,19";"0,00";"7,90"
"perjantai 16.9.2022 06:00";"0,24";"0,00";"7,70"
"perjantai 16.9.2022 07:00";"0,92";"0,00";"8,00"
"perjantai 16.9.2022 08:00";"0,85";"0,00";"8,80"
"perjantai 16.9.2022 09:00";"0,59";"0,00";"9,60"
"perjantai 16.9.2022 10:00";"0,00";"0,22";"10,70"
"perjantai 16.9.2022 11:00";"0,00";"0,32";"12,20"
"perjantai 16.9.2022 12:00";"0,00";"0,65";"13,30"
"perjantai 16.9.2022 13:00";"0,00";"0,24";"14,00"
"perjantai 16.9.2022 14:00";"0,00";"0,25";"14,40"
"perjantai 16.9.2022 15:00";"0,00";"0,25";"13,60"
"perjantai 16.9.2022 16:00";"0,38";"0,00";"13,50"
"perjantai 16.9.2022 17:00";"0,79";"0,00";"13,60"
"perjantai 16.9.2022 18:00";"0,67";"0,00";"12,20"
"perjantai 16.9.2022 19:00";"0,35";"0,00";"11,20"
"perjantai 16.9.2022 20:00";"0,59";"0,00";"10,30"
"perjantai 16.9.2022 21:00";"0,87";"0,00";"9,80"
"perjantai 16.9.2022 22:00";"0,32";"0,00";"9,80"
"perjantai 16.9.2022 23:00";"0,22";"0,00";"9,70"
"lauantai 17.9.2022 00:00";"0,21";"0,00";"9,60"
"lauantai 17.9.2022 01:00";"0,20";"0,00";"9,50"
"lauantai 17.9.2022 02:00";"0,20";"0,00";"9,80"
"lauantai 17.9.2022 03:00";"0,22";"0,00";"9,70"
"lauantai 17.9.2022 04:00";"0,24";"0,00";"9,20"
"lauantai 17.9.2022 05:00";"0,77";"0,00";"9,20"
"lauantai 17.9.2022 06:00";"0,66";"0,00";"9,20"
"lauantai 17.9.2022 07:00";"0,67";"0,00";"9,30"
"lauantai 17.9.2022 08:00";"1,08";"0,00";"9,50"
"lauantai 17.9.2022 09:00";"0,19";"0,00";"9,50"
"lauantai 17.9.2022 10:00";"0,00";"0,65";"10,10"
"lauantai 17.9.2022 11:00";"0,19";"0,00";"11,40"
"lauantai 17.9.2022 12:00";"0,00";"0,24";"12,50"
"lauantai 17.9.2022 13:00";"0,00";"0,56";"12,40"
"lauantai 17.9.2022 14:00";"0,00";"0,23";"13,00"
"lauantai 17.9.2022 15:00";"0,00";"0,55";"13,10"
