Mittauspisteen tunnus;Tuotteen tyyppi;Resoluutio;Yksikkötyyppi;Alkuaika;Määrä;Laatu
0;8,71687E+12;PT1H;kWh;2022-08-04T18:00:00Z;0,41;OK
0;8,71687E+12;PT1H;kWh;2022-08-04T19:00:00Z;0,79;OK
0;8,71687E+12;PT1H;kWh;2022-08-04T20:00:00Z;0,49;OK
0;8,71687E+12;PT1H;kWh;2022-08-04T21:00:00Z;2,02;OK
0;8,71687E+12;PT1H;kWh;2022-08-04T22:00:00Z;0,34;OK
0;8,71687E+12;PT1H;kWh;2022-08-04T23:00:00Z;0,27;OK
0;8,71687E+12;PT1H;kWh;2022-08-05T00:00:00Z;0,22;OK
0;8,71687E+12;PT1H;kWh;2022-08-05T01:00:00Z;0,21;OK
0;8,71687E+12;PT1H;kWh;2022-08-05T02:00:00Z;0,2;OK
0;8,71687E+12;PT1H;kWh;2022-08-05T03:00:00Z;0,2;OK
0;8,71687E+12;PT1H;kWh;2022-08-05T04:00:00Z;0,21;OK
0;8,71687E+12;PT1H;kWh;2022-08-05T05:00:00Z;0,27;OK
0;8,71687E+12;PT1H;kWh;2022-08-05T06:00:00Z;0,32;OK
0;8,71687E+12;PT1H;kWh;2022-08-05T07:00:00Z;0,31;OK
0;8,71687E+12;PT1H;kWh;2022-08-05T08:00:00Z;0,84;OK
0;8,71687E+12;PT1H;kWh;2022-08-05T09:00:00Z;1,27;OK
0;8,71687E+12;PT1H;kWh;2022-08-05T10:00:00Z;0,35;OK
0;8,71687E+12;PT1H;kWh;2022-08-05T11:00:00Z;0,36;OK
0;8,71687E+12;PT1H;kWh;2022-08-05T12:00:00Z;1,3;OK
0;8,71687E+12;PT1H;kWh;2022-08-05T13:00:00Z;0,18;OK
0;8,71687E+12;PT1H;kWh;2022-08-05T14:00:00Z;0,16;OK
0;8,71687E+12;PT1H;kWh;2022-08-05T15:00:00Z;0,15;OK
0;8,71687E+12;PT1H;kWh;2022-08-05T16:00:00Z;0,21;OK
0;8,71687E+12;PT1H;kWh;2022-08-05T17:00:00Z;0,2;OK
0;8,71687E+12;PT1H;kWh;2022-08-05T18:00:00Z;0,23;OK
0;8,71687E+12;PT1H;kWh;2022-08-05T19:00:00Z;0,25;OK
0;8,71687E+12;PT1H;kWh;2022-08-05T20:00:00Z;0,77;OK
0;8,71687E+12;PT1H;kWh;2022-08-05T21:00:00Z;0,32;OK
0;8,71687E+12;PT1H;kWh;2022-08-05T22:00:00Z;0,26;OK
0;8,71687E+12;PT1H;kWh;2022-08-05T23:00:00Z;0,2;OK
0;8,71687E+12;PT1H;kWh;2022-08-06T00:00:00Z;0,16;OK
0;8,71687E+12;PT1H;kWh;2022-08-06T01:00:00Z;0,16;OK
0;8,71687E+12;PT1H;kWh;2022-08-06T02:00:00Z;0,14;OK
0;8,71687E+12;PT1H;kWh;2022-08-06T03:00:00Z;0,15;OK
0;8,71687E+12;PT1H;kWh;2022-08-06T04:00:00Z;0,17;OK
0;8,71687E+12;PT1H;kWh;2022-08-06T05:00:00Z;0,16;OK
0;8,71687E+12;PT1H;kWh;2022-08-06T06:00:00Z;0,76;OK
0;8,71687E+12;PT1H;kWh;2022-08-06T07:00:00Z;0,86;OK
0;8,71687E+12;PT1H;kWh;2022-08-06T08:00:00Z;0,97;OK
0;8,71687E+12;PT1H;kWh;2022-08-06T09:00:00Z;0,9;OK
0;8,71687E+12;PT1H;kWh;2022-08-06T10:00:00Z;1,43;OK
0;8,71687E+12;PT1H;kWh;2022-08-06T11:00:00Z;1,66;OK
0;8,71687E+12;PT1H;kWh;2022-08-06T12:00:00Z;1,25;OK
0;8,71687E+12;PT1H;kWh;2022-08-06T13:00:00Z;1,18;OK
0;8,71687E+12;PT1H;kWh;2022-08-06T14:00:00Z;0,35;OK
0;8,71687E+12;PT1H;kWh;2022-08-06T15:00:00Z;0,55;OK
0;8,71687E+12;PT1H;kWh;2022-08-06T16:00:00Z;0,2;OK
0;8,71687E+12;PT1H;kWh;2022-08-06T17:00:00Z;0,17;OK
0;8,71687E+12;PT1H;kWh;2022-08-06T18:00:00Z;1,47;OK
0;8,71687E+12;PT1H;kWh;2022-08-06T19:00:00Z;0,81;OK
0;8,71687E+12;PT1H;kWh;2022-08-06T20:00:00Z;0,66;OK
0;8,71687E+12;PT1H;kWh;2022-08-06T21:00:00Z;0,76;OK
0;8,71687E+12;PT1H;kWh;2022-08-06T22:00:00Z;0,34;OK
0;8,71687E+12;PT1H;kWh;2022-08-06T23:00:00Z;0,98;OK
0;8,71687E+12;PT1H;kWh;2022-08-07T00:00:00Z;0,63;OK
0;8,71687E+12;PT1H;kWh;2022-08-07T01:00:00Z;0,37;OK
0;8,71687E+12;PT1H;kWh;2022-08-07T02:00:00Z;0,45;OK
0;8,71687E+12;PT1H;kWh;2022-08-07T03:00:00Z;0,58;OK
0;8,71687E+12;PT1H;kWh;2022-08-07T04:00:00Z;0,58;OK
0;8,71687E+12;PT1H;kWh;2022-08-07T05:00:00Z;0,19;OK
0;8,71687E+12;PT1H;kWh;2022-08-07T06:00:00Z;0,36;OK
0;8,71687E+12;PT1H;kWh;2022-08-07T07:00:00Z;1,26;OK
0;8,71687E+12;PT1H;kWh;2022-08-07T08:00:00Z;0,9;OK
0;8,71687E+12;PT1H;kWh;2022-08-07T09:00:00Z;2,28;OK
0;8,71687E+12;PT1H;kWh;2022-08-07T10:00:00Z;0,41;OK
0;8,71687E+12;PT1H;kWh;2022-08-07T11:00:00Z;0,3;OK
0;8,71687E+12;PT1H;kWh;2022-08-07T12:00:00Z;1,64;OK
0;8,71687E+12;PT1H;kWh;2022-08-07T13:00:00Z;0,9;OK
0;8,71687E+12;PT1H;kWh;2022-08-07T14:00:00Z;0,18;OK
0;8,71687E+12;PT1H;kWh;2022-08-07T15:00:00Z;0,19;OK
0;8,71687E+12;PT1H;kWh;2022-08-07T16:00:00Z;0,22;OK
0;8,71687E+12;PT1H;kWh;2022-08-07T17:00:00Z;1,18;OK
0;8,71687E+12;PT1H;kWh;2022-08-07T18:00:00Z;1,05;OK
0;8,71687E+12;PT1H;kWh;2022-08-07T19:00:00Z;1,03;OK
